Area,Garage,FirePlace,Baths,White Marble,Black Marble,Indian Marble,Floors,City,Solar,Electric,Fiber,Glass Doors,Swiming Pool,Garden,Prices
164,2,0,2,0,1,0,0,3,1,1,1,1,0,0,43800
84,2,0,4,0,0,1,1,2,0,0,0,1,1,1,37550
190,2,4,4,1,0,0,0,2,0,0,1,0,0,0,49500
75,2,4,4,0,0,1,1,1,1,1,1,1,1,1,50075
148,1,4,2,1,0,0,1,2,1,0,0,1,1,1,52400
124,3,3,3,0,1,0,1,1,0,0,1,1,1,1,54300
58,1,0,2,0,0,1,0,3,0,1,1,1,0,1,34400
249,2,1,1,1,0,0,1,1,0,1,0,1,1,0,50425
243,1,0,2,0,0,1,1,1,0,0,0,0,1,0,29575
242,1,2,4,0,0,1,0,2,1,0,0,0,1,0,22300
61,2,4,5,0,0,1,1,1,1,0,1,1,1,1,49725
189,2,0,4,0,1,0,0,2,1,1,0,1,1,1,31675
160,2,0,2,0,1,0,1,1,1,1,0,1,0,0,39950
5,3,3,3,1,0,0,1,3,1,1,1,0,1,0,64375
160,3,3,1,0,0,1,1,3,0,0,0,0,1,0,38500
215,3,4,1,0,0,1,0,1,0,0,0,0,1,1,18625
113,1,0,5,0,1,0,1,3,1,0,0,0,1,0,42325
244,3,3,3,0,1,0,1,1,1,0,1,0,0,0,53100
197,2,3,5,0,1,0,1,3,0,1,0,1,0,0,53625
102,2,3,2,0,0,1,1,3,1,1,0,0,0,0,38300
154,3,4,5,1,0,0,1,2,1,1,1,0,0,0,67850
4,3,3,5,1,0,0,0,1,1,1,1,0,0,0,44850
51,1,1,3,0,0,1,0,1,1,1,0,1,0,1,17725
220,1,1,4,0,0,1,1,2,1,1,1,0,0,1,49000
20,3,0,3,0,1,0,1,3,0,0,0,1,1,1,44700
171,1,1,3,1,0,0,0,3,1,0,0,1,1,1,40475
34,1,2,4,1,0,0,1,2,1,1,0,1,1,0,51800
53,2,3,2,0,0,1,0,3,1,0,1,0,1,0,32575
122,3,1,1,0,1,0,1,1,1,1,1,0,1,1,47300
180,1,2,4,1,0,0,0,3,0,1,1,0,0,0,51000
110,1,1,4,0,1,0,1,3,0,1,1,1,1,1,58950
238,2,4,3,1,0,0,0,1,1,1,0,0,0,1,35700
146,3,4,3,0,0,1,1,3,1,0,0,1,0,0,46100
66,3,4,4,0,0,1,0,3,1,1,0,1,0,1,31600
139,1,4,5,0,0,1,1,3,1,0,1,1,1,1,57175
30,3,4,1,1,0,0,0,2,0,1,1,1,0,0,48950
5,1,3,1,0,0,1,0,1,1,1,0,0,1,0,11125
212,3,1,3,0,0,1,1,1,0,0,0,1,0,1,38250
237,3,1,4,0,1,0,0,3,1,0,1,1,1,1,49125
35,3,3,2,0,1,0,0,3,1,1,1,1,0,0,44325
97,1,0,2,1,0,0,1,2,1,0,1,0,1,0,55425
193,1,1,4,1,0,0,1,1,1,1,1,1,0,1,63275
36,1,2,1,0,1,0,0,2,0,1,0,1,0,1,23850
179,3,0,1,1,0,0,1,2,1,1,0,1,1,0,53175
155,1,1,4,0,1,0,0,1,1,1,1,0,1,1,33875
136,3,1,5,0,0,1,0,1,0,1,1,0,1,0,32400
207,3,4,4,1,0,0,0,2,0,0,1,1,0,1,55875
65,2,0,3,0,0,1,1,2,1,0,0,1,1,1,36075
246,3,1,5,0,1,0,1,1,1,1,1,1,0,1,59850
14,3,1,3,0,1,0,0,1,1,1,0,0,1,1,20350
217,1,2,3,1,0,0,1,2,0,1,1,1,0,0,66625
233,1,2,1,1,0,0,0,1,1,0,1,0,0,1,40575
237,1,3,4,1,0,0,1,3,0,1,0,1,1,0,60875
2,1,2,4,0,0,1,1,2,0,0,1,0,1,1,42800
163,2,4,5,0,1,0,1,1,0,1,1,1,0,1,58275
173,2,1,5,0,1,0,0,3,1,1,1,0,0,1,44075
71,2,1,1,0,0,1,0,1,0,0,0,0,1,0,11275
37,3,0,1,0,1,0,1,1,1,1,0,0,0,1,32675
150,1,0,3,1,0,0,1,2,1,0,1,0,0,1,58000
222,3,1,4,1,0,0,1,3,1,1,1,1,1,1,74000
197,1,1,3,0,0,1,1,2,1,0,1,1,0,1,50375
149,3,3,5,1,0,0,0,3,1,1,1,0,1,1,55475
161,3,4,4,1,0,0,1,3,0,0,0,1,1,0,61475
62,2,1,2,1,0,0,0,1,0,1,1,1,1,1,43750
144,1,1,2,0,0,1,1,3,1,1,1,0,1,0,48100
238,2,3,4,0,0,1,0,1,1,1,0,1,0,0,26650
240,1,0,3,1,0,0,1,1,0,1,0,1,0,1,50450
187,3,4,5,0,0,1,0,1,1,1,0,1,0,0,28875
79,2,0,2,0,1,0,0,1,1,1,0,1,1,0,22925
44,3,1,1,1,0,0,1,1,0,0,0,0,0,0,41100
62,1,3,2,1,0,0,1,1,0,0,0,0,1,1,41300
2,1,2,1,1,0,0,0,2,0,1,1,1,0,0,43750
101,3,2,4,0,0,1,0,1,1,1,0,0,1,0,19525
164,1,2,5,1,0,0,1,2,1,1,1,0,0,0,63600
30,1,3,2,0,1,0,1,2,1,0,0,1,1,1,39700
115,1,3,2,1,0,0,0,3,1,0,0,0,1,0,34875
112,3,2,4,0,1,0,1,3,1,0,0,1,1,1,50000
183,3,1,4,0,0,1,1,1,0,1,1,0,0,1,47325
70,1,1,1,0,0,1,1,2,0,1,0,1,1,1,33950
108,2,1,2,1,0,0,1,3,1,1,1,1,0,0,67150
152,2,2,2,0,0,1,1,2,1,0,1,1,0,1,50250
18,3,1,2,0,0,1,0,3,0,1,0,0,1,0,20950
84,3,0,2,0,1,0,1,3,1,0,1,1,0,1,57050
68,2,3,4,0,1,0,0,3,0,1,0,1,1,0,34150
245,1,4,5,0,1,0,1,3,0,0,1,1,0,1,64575
249,2,0,3,1,0,0,0,1,1,0,0,1,0,1,36175
30,2,4,5,0,1,0,1,3,1,0,0,0,1,1,44750
118,1,3,2,1,0,0,1,2,0,0,1,0,0,0,57950
128,2,3,3,0,0,1,1,2,1,1,1,0,1,1,48450
112,2,3,5,0,0,1,0,2,1,1,1,1,0,0,40000
213,2,1,1,1,0,0,1,3,0,1,1,1,1,0,68275
73,1,0,2,0,1,0,1,2,1,0,0,0,1,1,34075
231,2,2,3,0,1,0,1,3,1,0,1,1,0,0,61975
